Recording,Pipeline,Latency,Error,MinError,MaxSpeed,MeanSpeed,DlydReps
Synthetic_240425_084303_v3,gpu,19,1.37,0.459,0.127,0.074,0.034
Synthetic_240425_084303_v3,spinnaker,8,0.709,0.475,0.124,0.071,0.0
Synthetic_240425_084413_v1,gpu,19,1.531,0.488,0.133,0.081,0.005
Synthetic_240425_084413_v1,spinnaker,8,0.791,0.447,0.143,0.086,0.0
Synthetic_240425_084413_v2,gpu,19,1.599,0.492,0.143,0.085,0.0
Synthetic_240425_084413_v2,spinnaker,8,0.692,0.42,0.137,0.077,0.0
Synthetic_240425_084413_v3,gpu,19,1.548,0.5,0.14,0.081,0.005
Synthetic_240425_084413_v3,spinnaker,8,0.722,0.446,0.143,0.084,0.0
ZZZuper,gpu,17,9.233,1.719,1.167,0.552,0.0
ZZZuper,gpu,18,9.586,1.787,1.148,0.546,0.0
ZZZuper,gpu,18,9.89,2.052,1.295,0.558,0.0
ZZZuper,gpu,17,9.6,1.741,1.188,0.555,0.0
ZZZuper,gpu,18,9.761,1.875,1.27,0.561,0.0
ZZZuper,gpu,18,9.232,1.705,1.21,0.54,0.0
ZZZuper,gpu,18,12.556,2.926,1.528,0.678,0.0
trash,spinnaker,22,101.188,100.943,1.202,0.553,0.0155
trash,spinnaker,99,74.131,71.191,0.259,0.143,0.2005
trash,spinnaker,97,60.804,60.48,0.116,0.063,0.3605
trash,spinnaker,99,64.572,61.65,0.209,0.122,0.3045
all,spinnaker,99,65.69,62.963,0.222,0.126,0.3025
z_all,spinnaker,99,64.691,61.813,0.226,0.123,0.31
z_all-v2,spinnaker,99,64.896,62.144,0.226,0.122,0.298
z_all,spinnaker,7,1.003,0.519,0.214,0.122,0.0
z_all,spinnaker,9,0.679,0.461,0.11,0.051,0.0
z_slow,spinnaker,12,1.012,0.523,0.117,0.052,0.0
z_slow,spinnaker,84,16.258,10.497,0.322,0.216,0.43
z_slow,spinnaker,10,2.087,0.602,0.311,0.205,0.0
z_slow,spinnaker,24,12.0,8.817,0.471,0.26,0.194
z_slow,spinnaker,10,2.13,0.627,0.31,0.215,0.0
z_slow,spinnaker,14,3.963,1.893,0.309,0.211,0.015
z_slow,spinnaker,11,2.461,0.768,0.321,0.212,0.0
z_medium,spinnaker,8,1.642,0.41,0.318,0.207,0.0
z_fast,spinnaker,6,1.312,0.473,0.313,0.216,0.0
z_trash,spinnaker,7,3.749,1.182,1.093,0.53,0.0
z_deterministic_v1,spinnaker,8,4.753,1.775,1.121,0.561,0.0
z_deterministic_v2,spinnaker,8,4.477,1.467,1.066,0.535,0.0
z_deterministic_v3,spinnaker,8,4.101,1.154,1.083,0.539,0.0
z_deterministic_v4,spinnaker,8,5.381,2.534,1.085,0.542,0.0
z_deterministic_v5,spinnaker,7,4.174,1.563,1.113,0.544,0.0
z_deterministic_v6,spinnaker,7,4.109,1.32,1.076,0.542,0.0
z_deterministic_v7,gpu,22,12.896,4.552,1.091,0.533,0.014
z_deterministic_v8,gpu,22,13.253,4.961,1.127,0.531,0.028
z_deterministic_v9,gpu,20,12.787,4.649,1.116,0.531,0.019
z_deterministic_v10,gpu,20,10.722,2.794,1.07,0.522,0.0
z_deterministic_v11,gpu,22,13.218,4.434,1.111,0.535,0.009
z_deterministic_v12,gpu,22,15.851,6.418,1.141,0.572,0.04
Synthetic_240605_124520_v1,gpu,19,6.647,1.178,0.734,0.359,0.0
Synthetic_240605_124520_v2,gpu,19,6.211,1.124,0.774,0.348,0.0
Synthetic_240605_124520_v3,gpu,19,6.878,1.3,0.801,0.365,0.0
Synthetic_240605_124806_v1,gpu,19,6.484,1.155,0.755,0.355,0.0
Synthetic_240605_163816_v1,gpu,19,5.947,1.033,0.621,0.332,0.0
Synthetic_240605_163816_v2,gpu,19,6.025,1.018,0.65,0.334,0.0
